precision,avg_EF,batch_size,learning_rate
2,"{'EF_trace_w': array([98.71808 , 14.055089, 91.04026 , 11.713869,  6.522229, 33.588337,
       63.988625, 63.933502, 42.26109 , 22.912365, 14.084729, 65.6637  ,
       67.10271 , 84.329346, 12.868889, 82.77841 ], dtype=float32), 'EF_trace_a': array([  8.072781 ,   8.252205 ,   2.465967 ,  12.661259 ,   3.1629622,
         3.1629622, 108.12374  ,  16.86805  ,  75.14699  ,  11.716454 ,
        11.716454 , 223.1134   ,  24.523703 , 175.67517  ,  21.811928 ],
      dtype=float32), 'avg_EF': 35.762474}",256,0.025
2,"{'EF_trace_w': array([66.62393  ,  7.487145 ,  5.946188 ,  2.5596147,  4.325899 ,
        7.68904  , 30.866848 , 23.09341  , 19.127842 , 10.398552 ,
        4.3845634, 24.328314 , 22.98638  , 25.342855 ,  3.759361 ,
       39.2899   ], dtype=float32), 'EF_trace_a': array([ 2.0683022 ,  6.2627006 ,  0.61908746,  5.1696806 ,  0.86901116,
        0.86901116, 20.646862  ,  7.1132393 , 23.463877  ,  4.316551  ,
        4.316551  , 50.80797   ,  6.7582264 , 72.00758   ,  7.6964936 ],
      dtype=float32), 'avg_EF': 12.439215}",256,0.0125
2,"{'EF_trace_w': array([7.0808716 , 3.213308  , 1.8172581 , 1.1750073 , 0.54506266,
       0.9421321 , 2.289272  , 1.9105963 , 1.4478976 , 0.9189783 ,
       0.57355046, 1.7767999 , 1.4908493 , 2.1080484 , 0.31750727,
       5.355651  ], dtype=float32), 'EF_trace_a': array([0.40263355, 0.40906128, 0.05658465, 0.19359684, 0.05130494,
       0.05130494, 1.1161205 , 0.3899144 , 0.64189965, 0.24073079,
       0.24073079, 1.4371432 , 0.16021891, 1.9903265 , 0.79596895],
      dtype=float32), 'avg_EF': 1.517499}",256,0.00625
2,"{'EF_trace_w': array([5.8933268 , 0.84887826, 0.59045315, 2.104858  , 0.43075597,
       0.59489775, 0.7744853 , 1.1845903 , 0.8863271 , 0.5604516 ,
       0.35387456, 0.8716655 , 0.6431757 , 0.9741905 , 0.1090136 ,
       1.622292  ], dtype=float32), 'EF_trace_a': array([0.11997031, 0.07568464, 0.03036802, 0.09482262, 0.02177897,
       0.02177897, 0.23167881, 0.06220312, 0.10762274, 0.03640205,
       0.03640205, 0.21272947, 0.0320057 , 0.21533898, 0.16859427],
      dtype=float32), 'avg_EF': 0.7937321}",256,0.003125
2,"{'EF_trace_w': array([5.3066735 , 1.2547276 , 0.9949605 , 1.5502207 , 0.65487075,
       0.73893034, 1.5864557 , 2.3459697 , 2.8212957 , 1.5503867 ,
       0.54414374, 2.4705908 , 1.7571869 , 2.077863  , 0.23972341,
       1.4522867 ], dtype=float32), 'EF_trace_a': array([0.14547841, 0.06239123, 0.02640051, 0.10194042, 0.02074148,
       0.02074148, 0.18687113, 0.0989902 , 0.18873063, 0.05595121,
       0.05595121, 0.28759077, 0.03262369, 0.12880027, 0.12838309],
      dtype=float32), 'avg_EF': 1.3607947}",256,0.0015625
2,"{'EF_trace_w': array([3143.9102  ,  709.23676 ,  699.5147  ,  147.98785 ,   60.140114,
       1393.6487  ,  743.65857 , 1597.211   ,  842.7713  ,  479.94952 ,
        515.83154 , 2422.9778  , 1601.2538  , 1679.8318  ,  294.59753 ,
        934.6046  ], dtype=float32), 'EF_trace_a': array([ 419.12216,  630.0165 ,  266.9998 ,   72.05332,  401.92203,
        401.92203, 1614.6664 ,  511.57367, 1312.5593 ,  838.6838 ,
        838.6838 , 4086.126  ,  389.3694 , 3899.6685 ,  517.5628 ],
      dtype=float32), 'avg_EF': 742.87836}",512,0.1
2,"{'EF_trace_w': array([671.4667  , 368.83005 , 107.12629 ,  85.98639 ,  12.429216,
       107.83047 , 292.71472 , 363.2029  , 212.08563 , 219.35751 ,
        34.97914 , 217.40768 , 127.17768 , 221.48291 ,  23.23245 ,
       333.10913 ], dtype=float32), 'EF_trace_a': array([107.32417 , 242.9047  ,  26.643059,  97.8804  ,  46.39798 ,
        46.39798 , 386.8816  , 109.981094, 178.0692  ,  70.315926,
        70.315926, 472.7926  ,  11.113419, 146.6661  ,  23.822674],
      dtype=float32), 'avg_EF': 141.2362}",512,0.05
2,"{'EF_trace_w': array([199.0579  ,  43.133587,  32.925484,  55.5478  ,  14.42675 ,
        39.310276, 106.25864 , 116.85132 ,  98.293015,  35.845085,
        21.775528, 107.594055, 108.1498  , 110.40173 ,  13.311732,
        93.66357 ], dtype=float32), 'EF_trace_a': array([ 16.817163 ,  37.748657 ,   2.7739637,  33.08415  ,   2.3377454,
         2.3377454, 145.57532  ,  31.468912 , 172.53198  ,  19.246967 ,
        19.246967 , 403.77188  ,  26.838175 , 336.1306   ,  18.017555 ],
      dtype=float32), 'avg_EF': 57.32236}",512,0.025
2,"{'EF_trace_w': array([6.239023  , 1.0338459 , 0.8491051 , 2.665697  , 0.5804481 ,
       1.1069119 , 1.9763366 , 2.09213   , 1.4214848 , 1.0365057 ,
       0.5656765 , 1.7016793 , 1.0876956 , 1.626838  , 0.26798674,
       5.88143   ], dtype=float32), 'EF_trace_a': array([0.7473278 , 0.5165832 , 0.1483056 , 0.8680277 , 0.10305043,
       0.10305043, 1.8991501 , 0.5856363 , 0.6184828 , 0.3620565 ,
       0.3620565 , 2.0488777 , 0.19449554, 1.6454294 , 0.7504269 ],
      dtype=float32), 'avg_EF': 1.3696746}",512,0.0125
2,"{'EF_trace_w': array([15.835617  ,  1.7383038 ,  1.5904231 ,  2.0540483 ,  0.95852834,
        1.3990735 ,  2.9114382 ,  3.2192395 ,  3.0044765 ,  1.4865766 ,
        0.5629531 ,  2.0040798 ,  1.3945713 ,  1.8540952 ,  0.28702396,
        2.9856868 ], dtype=float32), 'EF_trace_a': array([0.42201212, 0.27250054, 0.10018001, 0.27527568, 0.06719666,
       0.06719666, 0.92856246, 0.25851786, 0.7675439 , 0.13030607,
       0.13030607, 1.1561892 , 0.13482738, 0.62860835, 0.51832026],
      dtype=float32), 'avg_EF': 1.8043334}",512,0.00625
2,"{'EF_trace_w': array([4.049444  , 0.8723613 , 0.51829755, 1.1036413 , 0.47488907,
       0.61865574, 1.1618571 , 1.6068853 , 1.7160277 , 0.9672959 ,
       0.3806786 , 1.3101852 , 0.9430816 , 1.273948  , 0.12539214,
       1.5346162 ], dtype=float32), 'EF_trace_a': array([0.07016754, 0.0334507 , 0.01771661, 0.06863508, 0.01456509,
       0.01456509, 0.17108682, 0.07240762, 0.15769741, 0.04067308,
       0.04067308, 0.2500571 , 0.03112031, 0.14432412, 0.11167461],
      dtype=float32), 'avg_EF': 0.9076407}",512,0.003125
2,"{'EF_trace_w': array([10.528871  ,  1.4250257 ,  1.3354036 ,  2.2425723 ,  1.0093377 ,
        1.1291178 ,  2.6071005 ,  3.5910442 ,  5.125812  ,  2.4261096 ,
        0.7498741 ,  3.195383  ,  2.223649  ,  2.3743095 ,  0.27649814,
        1.1570634 ], dtype=float32), 'EF_trace_a': array([0.05467489, 0.03046383, 0.01736338, 0.0419161 , 0.01444289,
       0.01444289, 0.11844004, 0.07101221, 0.09712408, 0.03269465,
       0.03269465, 0.13667816, 0.0236323 , 0.0486389 , 0.06929004],
      dtype=float32), 'avg_EF': 1.878926}",512,0.0015625
