precision,net_efficiency,batch_size,learning_rate
10,0.10125664623484597,128,0.1
10,0.0012226254747166288,128,0.05
10,0.07901312715979444,128,0.025
10,0.4120938627341044,128,0.0125
10,0.42837520113441124,128,0.00625
10,0.4204518739827444,128,0.003125
10,0.38629655640034805,128,0.0015625
10,0.16970545189122843,256,0.1
10,0.03558995309037516,256,0.05
10,0.4112773940723013,256,0.025
10,0.5339301182438605,256,0.0125
10,0.45585812138941106,256,0.00625
10,0.4291776491582851,256,0.003125
10,0.3233774457808659,256,0.0015625
10,0.0042205040497785,512,0.1
10,0.0017786806998042087,512,0.05
10,0.03190834553597877,512,0.025
10,0.4599861672293609,512,0.0125
10,0.31122990938179595,512,0.00625
10,0.30258923197289833,512,0.003125
10,0.20478496377294794,512,0.0015625
10,5.472478697932525e-05,1024,0.1
10,5.472478697932525e-05,1024,0.05
10,0.10268754713862228,1024,0.025
10,0.39513477143133824,1024,0.0125
10,0.34174533617033137,1024,0.00625
10,0.310266168485803,1024,0.003125
10,0.17559785132241224,1024,0.0015625
11,5.472478697932525e-05,16,0.1
11,0.23097408734071043,16,0.05
11,0.21041952389408194,16,0.025
11,0.5382085720114668,16,0.0125
11,0.5038326728760217,16,0.00625
11,0.558948141069275,16,0.003125
11,0.3909156768561097,16,0.0015625
11,0.003856355619211138,32,0.1
11,0.07487470543943478,32,0.05
11,0.24204730444164324,32,0.025
11,0.45054569496533514,32,0.0125
11,0.4889366907890383,32,0.00625
11,0.446581036038726,32,0.003125
11,0.44398459039653576,32,0.0015625
11,0.0020856962333154253,64,0.1
11,0.0007058420881638451,64,0.05
11,0.22980385324070085,64,0.025
11,0.4723810909467327,64,0.0125
11,0.40941792920332565,64,0.00625
11,0.3993405146622462,64,0.003125
11,0.3944704376183571,64,0.0015625
11,0.0008916541941391535,128,0.1
11,0.0011490603702142275,128,0.05
11,0.044214774714318526,128,0.025
11,0.4115776943533479,128,0.0125
11,0.37683451313105637,128,0.00625
11,0.35368648231861877,128,0.003125
11,0.3790977386728206,128,0.0015625
11,5.472478697932525e-05,256,0.1
11,0.004907555140095572,256,0.05
11,0.11017367607645334,256,0.025
11,0.4461804767593218,256,0.0125
11,0.3878222185289218,256,0.00625
11,0.44421087075657695,256,0.003125
11,0.3004644536513311,256,0.0015625
11,5.472478697932525e-05,512,0.1
11,0.00303839486741802,512,0.05
11,0.0688390428283996,512,0.025
11,0.4386547352716831,512,0.0125
11,0.4024181001161182,512,0.00625
11,0.3329671875943389,512,0.003125
11,0.24037461960504047,512,0.0015625
11,0.07883117856701947,1024,0.1
11,5.472478697932525e-05,1024,0.05
11,0.12119987536847433,1024,0.025
11,0.5135193193540699,1024,0.0125
11,0.46029158377841534,1024,0.00625
11,0.22917846896572383,1024,0.003125
11,0.2896019423761891,1024,0.0015625
